Formation,Mode,Formation Base,Description,Available In,Counter Formations,GK,LCB,CB,RCB,RM,RCM,CDM,LCM,LM,LS,RS,RB,LB,RWB,LWB,CM,CAM,RW,LW,ST,CF,LF,RF,RAM,LAM,LDM,RDM
3-1-4-2,Attacking / Midfield (Moderate),3-5-2,"Suitable for the games you’re trying to win and you need to concede no or less goals at the same time.

3-1-4-2 is a variation of 3-5-2 formation where a defender (preferably a sweeper) helps midfielders on attack and defence. Like in 3-5-2, this formation is heavily reliant on the wing-backs providing width for the team. The wing players are more withdrawn in favour of one of the central midfielders being pushed further upfield into the playmaker position.",FUT / Career Mode / Kick-off / Tournaments,4-5-1 / 4-1-3-2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3-4-1-2,Attacking (Moderate),3-5-2,"Suitable for the games you are trying to win by keeping the ball in the middle and creating opportunities by your midfielders.

3-4-1-2 is a variation of 3-5-2 formation where the wing players are more withdrawn in favour of one of the central midfielders being pushed further upfield into the playmaker position, the “number 10”. This formation is suitable for the games you are trying to win by keeping the ball in the middle and creating opportunities by your midfielders.",FUT / Career Mode / Kick-off / Tournaments,4-5-1,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0
3-4-2-1,Attacking,3-4-3,"A variation of 3-4-1-2 formation but more attacking. 3-4-2-1 has more attackers (3 forwards – LF, CF/ST and RF) and is designed for the games where you are not only trying to win the game but also trying to score more than one goal.",FUT / Career Mode / Kick-off / Tournaments,4-5-1 / 4-2-3-1,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,0
3-4-3 Diamond,Attacking,3-4-3,"Suitable for the games where you want to concentrate on attacks and score goals and same time concede no or less goal.

Same as 3-4-3 Flat, but in 3-4-3 Diamond formation you have a CAM and a CDM instead of two CM players, so it helps you be better on attacks and defences.",Career Mode / Kick-off / Tournaments,4-3-1-2 / 4-2-3-1 / 5-3-2,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
3-4-3 Flat,Attacking,3-4-3,"Suitable for the games where you want to concentrate on attacks and score goals.

Using this formation, your midfielders are expected to split their time between attacking and defending. Having only 3 defenders means that if the opposing team breaks through the midfield, they will have a greater chance to score than with a more conventional defensive configuration, such as 4–5–1 or 4–4–2. However, your 3 forwards allow for a greater concentration on attack. This formation is used by more offensive-minded teams.",Career Mode / Kick-off / Tournaments,4-3-1-2 / 4-2-3-1 / 5-3-2,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
3-5-1-1,Attacking,3-5-2,"Suitable for the matches where you want to concentrate on attacks and score goals.

Same as 3-5-2 formation, but in 3-5-1-1 you have two CF upfront rather than having two ST players besides each other. This formation works better when you’re trying to manage your attacks by crosses from the sides and scoring goals from the center of your attacking line.",Career Mode / Kick-off / Tournaments,4-5-1 / 4-1-3-2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1
3-5-2,Attacking (Possessioning),,"Suitable for the games where you want to concentrate on attacks and score goals and same time concede no or less goal by keep the ball possession.

The 3-5-2 formation has 3 central defenders (possibly with one acting as a sweeper). This system is heavily reliant on the wing-backs providing width for the team. The two wide full-backs act as wing-backs. It is their job to work their flank along the full length of the pitch, supporting both the defence and the attack.",FUT / Career Mode / Kick-off / Tournaments,4-5-1 / 4-1-3-2,1,0,3,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
4-1-2-1-2,Attacking / Defending,4-4-2,"This formation has 4 defenders, 4 midfielders and 2 forwards. 4 midfielders in 4-1-2-1-2 formation are CDM, CAM, RM and LM. The CDM will help the defenders on defending while CAM can join strikers to participate in attacks.",FUT,3-4-2-1 / 3-5-2 / 4-4-1-1,1,0,2,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0
4-1-2-1-2 (2),Attacking / Defending,4-4-2,"Also known as 4-1-2-1-2 Narrow, it is a variation of 4-1-2-1-2 formation, but in this formation there is no wingers in the midfield, which means the flank midfielders could be central midfielders (CM) as their roles are more concentrated in the center of the field and they stay closer to each other in compare to 4-1-2-1-2 formation.",FUT,3-4-2-1 / 3-5-2 / 4-4-1-1,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0
4-1-2-1-2 Narrow,Attacking / Defending,4-4-2,"A variation of 4-1-2-1-2 formation, but in this formation there is no wings in the midfield, which means the flank midfielders could be central midfielders (CM) as their roles are more concentrated in the center of the field and they stay closer to each other in compare to 4-1-2-1-2 formation.",Career Mode / Kick-off / Tournaments,3-4-2-1 / 3-5-2 / 4-4-1-1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4-1-2-1-2 Wide,Attacking / Defending,4-4-2,Suitable for the games where you want to win the game and concede less goals.,Career Mode / Kick-off / Tournaments,3-4-2-1 / 3-5-2 / 4-4-1-1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4-1-3-2,Attacking (Midfield),4-4-2,Suitable for the games where you want to do attacks that managed by your midfielders.,FUT / Career Mode / Kick-off / Tournaments,4-5-1 / 4-3-3,1,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4-1-4-1,Defending / Attacking (Sole Striker),4-5-1,Designed for the games where you want to have the ball possession and manage your attacks mostly using counters.,FUT / Career Mode / Kick-off / Tournaments,3-5-1 / 3-5-1-1,1,0,2,0,1,0,1,0,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
4-2-2-2,Attacking / Defensive,4-4-2,Designed for the games where you want to score by ground passed.,FUT / Career Mode / Kick-off / Tournaments,3-5-2 / 4-3-3,1,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,0,0,0,0
4-2-3-1,Attacking (Lone Striker) / Defending,4-5-1,"The 4-2-3-1 (Narrow) formation seems to be defensive, but it is quite a flexible formation, as the wingers and the full-backs can both join the attack. The midfielders behind the single attacker are ataccking midfielders (CAM) and the two midfielders behind them are defensive (CDM) which means they are helping the defenders.",FUT,4-5-1 / 4-4-2,1,0,2,0,0,0,2,0,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,0,0,0
4-2-3-1 (2),Defending / Attacking (Lone Striker),4-5-1,"4-2-3-1 (Wide) is a less attacking version of 4-2-3-1 (1 / Narrow) formation. Instead of having two CAM players, using this formation you will have a RM and a LM, which could assist your sole striker from the sides and also using the long aero balls.",FUT,4-5-1 / 4-4-2,1,0,3,0,1,0,2,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
4-2-3-1 Narrow,Attacking (Lone Striker) / Defending,4-5-1,"Suitable for the games where you want to score using a lone striker and be steady on your midfield and defence. This formation seems to be defensive, but it is quite a flexible formation, as the wingers and the full-backs can both join the attack. The midfielders behind the single attacker are attacking midfielders (CAM) and the two midfielders behind them are defensive (CDM) which means they are helping the defenders.",Career Mode / Kick-off / Tournaments,4-5-1 / 4-4-2,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1
4-2-4,Attacking,,Suitable for the games where you need to win by scoring more goals. The 4–2–4 formation attempts to combine a strong attack with a strong defence.,FUT / Career Mode / Kick-off / Tournaments,4-2-3-1 / 4-3-3 / 5-3-2,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
4-3-1-2,Attacking / Defending,4-4-2,Suitable for the games where you want to attack based on moves managed by attacking midfielders. Two strikers and one CAM in this formation will allow you to do the attack. Three other midfielders (CM or CAM players) will help your attack and defence. The formation focuses on the attacking midfielder moving play through the centre with the strikers on either side.,FUT / Career Mode / Kick-off / Tournaments,3-4-3 / 5-3-2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,3,1,0,0,2,0,0,0,0,0,0,0
4-3-2-1,Attacking / Defending,,"Also known as 'Christmas Tree' formation, the 4-3-2-1 formation is the ultra attacking version of 4-3-1-2. Using this formation you will have three attackers, which means you are supposed to create more goal opportunities.",FUT / Career Mode / Kick-off / Tournaments,4-2-3-1 / 5-3-2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,1,0,1,1,0,0,0,0
4-3-3,Attacking / Defending,,"4-3-3 or 4-3-3 Flat, is considered as a safe attacking formation where you have three attackers and a flat defensive line.",FUT,3-4-2-1 / 3-5-2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,3,0,1,1,1,0,0,0,0,0,0,0
4-3-3 (2),Attacking / Defending,4-3-3,"Another variation of 4-3-3 formation, which is slightly more defensive than original 4-3-3. Using this formation you have LW and RW (the wingers) instead of LF and RF (the typical forwards) for the attack. You have also two CM players and one CDM who joins the defence.",FUT,3-4-2-1 / 3-5-2,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0
4-3-3 (3),Attacking / Defending,4-3-3,"4-3-3 (3) formation is even more defensive than 4-3-3 (2), using this formation you will have two CDM players on the sides and one CM in the middle.",FUT,3-4-2-1 / 3-5-2,1,0,2,0,0,0,2,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
4-3-3 (4),Attacking / Defending,4-3-3,"This formation is slightly more attacking than the 4-3-3 (2). Instead of having a CDM player, using this formation you will have a CAM.",FUT,3-4-2-1 / 3-5-2,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,0,0
4-3-3 (5),Attacking / Defending,4-3-3,"The 4-3-3 (5) formation is the 'False 9' edition of 4-3-3 formation, in which your ST or CF player is positioned slightly behind your LW and RW players and is supported by two CAM players on his sides.",FUT,3-4-2-1 / 3-5-2,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,2,0,1,1,0,1,0,0,0,0,0,0
4-3-3 Attack,Attacking,4-3-3,"Suitable for the games where you want to do more attacks. Same as 4-3-3 Flat but more attacking. In this formation, you have an attacking midfielder behind your striker to support him on attacks.",Career Mode / Kick-off / Tournaments,3-4-2-1 / 3-5-2,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
4-3-3 Defend,Attacking / Defending,4-3-3,"Suitable for the games where you want to attack and to have your midfielders help your defenders. 4-3-3 Defend formation is a defensive edition 4-3-3, using this formation you will have two CDM players on the sides and one CM in the middle, so your defensive midfielders will try to block your opponent’s counter-attacks.",Career Mode / Kick-off / Tournaments,3-4-2-1 / 3-5-2,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1
4-3-3 False 9,Attacking,4-3-3,"Suitable for the games where you want to do safe attacks (False 9 tactics). The False 9 edition of 4-3-3 formation, in which your ST or CF player is positioned slightly behind your LW and RW players and is supported by two CAM players on his sides.",Career Mode / Kick-off / Tournaments,3-4-2-1 / 3-5-2,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
4-3-3 Flat,Attacking / Defending,4-3-3,Suitable for the games where you want to attack and to have your midfielders help your defenders. The 4-3-3 is a developed edition of the 4-2-4. This formation is considered as a safe attacking formation where you have three attackers and a flat defensive line.,Career Mode / Kick-off / Tournaments,3-4-2-1 / 3-5-2,1,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
4-3-3 Holding,Attacking / Defending,4-3-3,"Suitable for the games where you want to attack and to have your midfielders help your defenders. Another variation of 4-3-3 formation, which is slightly more defensive than the 4-3-3 Defend. Using this formation you have LW and RW (the wingers) instead of LF and RF (the typical forwards) for the attack. You have also two CM players and one CDM player who joins on defences.",Career Mode / Kick-off / Tournaments,3-4-2-1 / 3-5-2,1,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0
4-4-1-1,Attacking / Midfield,4-4-2,"A variation of 4-4-2 with one of the strikers playing as a second striker, behind the other one. The second striker is generally a more creative player, the playmaker, who can drop into midfield to pick up the ball before running with it or passing to team-mates, someone like Thomas Mueller, as an example.",FUT,4-3-3,1,0,2,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,1,1,0,0,0,0,0,0
4-4-2,Attacking / Midfield,,"The 4-4-2 formation usually staggers the midfield. The width in the team has to come from the full-backs pushing forward. In the Four-Four-Two formation, the midfielders are required to work hard to support both the defence and the attack.",FUT,3-4-2-1 / 3-5-2 / 4-4-1-1,1,0,2,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0
4-4-2 (2),Attacking / Holding,4-4-2,"Also known as 4-4-2 Holding, a holding/defensive version of the 4-4-2 formation. Instead of having two CM players, you will have two CDM players on the field to join defence.",FUT,3-4-2-1 / 3-5-2 / 4-4-1-1,1,0,2,0,1,0,2,0,1,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
4-4-2 Flat,Attacking / Midfield,4-4-2,"The 4-4-2 formation usually staggers the midfield. The width in the team has to come from the full-backs pushing forward. In the Four-Four-Two formation, the midfielders are required to work hard to support both the defence and the attack.",Career Mode / Kick-off / Tournaments,3-4-2-1 / 3-5-2 / 4-4-1-1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4-4-2 Holding,Attacking / Holding,4-4-2,"The midfield defensive edition of the 4-4-2 Flat formation. In this formation, you need to have strong defensive midfielders (CDM) to support the defence.",Career Mode / Kick-off / Tournaments,3-4-2-1 / 3-5-2 / 4-4-1-1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
4-5-1,Attacking / Midfield,,"This formation is originally a defensive formation, however, if the two midfield wingers play a more attacking role, it can be likened to 4–3–3. The formation can be used to tie up or preserve a lead, as the packing of the centre midfield makes it difficult for the opposition to build up play.",FUT,5-3-2,1,0,2,0,1,0,0,0,1,0,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0
4-5-1 (2),Attacking / Defending,4-5-1,4-5-1 (2) is a defensive edition of 4-5-1. This formation is usually used to gain a win or a draw in a safe mode.,FUT,5-3-2,1,0,2,0,1,0,0,0,1,0,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0
4-5-1 Attack,Attacking / Holding,4-5-1,Suitable for the games that you need to have safe attacks. The attacking edition of the 4-5-1 formation.,Career Mode / Kick-off / Tournaments,5-3-2,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
4-5-1 Flat,Holding,4-5-1,"Your midfielders are required to work hard to support more your defence. This formation is originally a defensive formation, however, if the two midfield wingers play a more attacking role, it can be likened to 4–3–3. The formation can be used to tie up or preserve a lead, as the packing of the centre midfield makes it difficult for the opposition to build up play.",Career Mode / Kick-off / Tournaments,5-3-2,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
5-2-1-2,Defending / Attacking (Counter),5-3-2,"In this formation, you will have 5 defenders including 3 central defenders (CB) one of them is a sweeper and 2 wide full-backs acting as wing-backs, who will be helping the midfielders and strikers on attacks – Especially on counter attacks.",FUT / Career Mode / Kick-off / Tournaments,4-3-3 / 4-4-2,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0
5-2-2-1,Defending / Attacking (Counter),5-2-3,"This formation includes 5 defenders including 3 central defenders (CB) – one of them could be a sweeper, and 2 wide full-backs acting as wing-backs, who will be backing the strikers on quick counter attacks. With 3 attackers (LW, RW and ST), you will be able to perform counter attack from the wings as well as the center.",FUT,4-3-3,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,1,0,0,0,0,0,0,0
5-2-3,Defending / Attacking (Counter),,A variation of 5-2-1-2 with more attackers.,Career Mode / Kick-off / Tournaments,4-5-1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
5-3-2,Defending / Attacking,,"The 5-3-2 has three CB players (possibly with one sweeper.) This system is reliant on the wing-backs providing width for the team. The two wide full-backs act as wing-backs. It is their job to work their flank along the full length of the pitch, supporting both the defence and the attack.",FUT / Career Mode / Kick-off / Tournaments,4-3-3,1,0,3,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0
5-4-1,Defending / Attacking,,"The 5-4-1 formation is a particularly defensive formation, with an isolated forward and a packed defence. The lone striker is usually looking to receiving the ball for scoring on counter-strikes.",FUT,3-5-2,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
5-4-1 Diamond,Defending / Attacking (Counter),,"A slight attacking edition of the 5-4-1 formation system. In 5-4-1 Diamond, a CAM player is helping the lone striker on the attacks.",Career Mode / Kick-off / Tournaments,3-5-2,1,1,1,1,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
5-4-1 Flat,Defending / Attacking,,"The 5-4-1 formation is a particularly defensive formation, with an isolated forward and a packed defence. The lone striker is usually looking to receiving the ball for scoring on counter-strikes.",Career Mode / Kick-off / Tournaments,3-5-2,1,1,1,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
